id,hotelid,hotelname,address,city,country,zipcode,propertytype,starrating,latitude,longitude,Source,url,curr
46406,1771651,Mediteran Bungalow Galeb,Vukovarska 7,Omis,Croatia,21310,Holiday parks,4,43.44012441,16.68250496,2,https://www.booking.com/hotel/hr/bungalow-luxury-mobile-homes-omis.en-gb.html,EUR
46407,177167,Hotel Polonia,Plac Teatralny 5,Torun,Poland,,Hotels,3,53.0123291,18.60379982,5,https://www.agoda.com/en-gb/hotel-polonia/hotel/torun-pl.html,EUR
46408,1771675,Rifugio Sass Bece,"Belvedere del Pordoi,1",Canazei,Italy,38032,Hotels,3,46.4779196,11.81334972,2,http://www.booking.com/hotel/it/rifugio-sass-bece.en-gb.html,EUR
46409,177168,Madalena Hotel,Mykonos,Mykonos,Greece,84600,Hotels,3,37.45231628,25.32984924,5,https://www.agoda.com/en-gb/madalena-hotel/hotel/mykonos-gr.html,EUR
46410,1771718,Pension Morenfeld,Mair im Korn Strasse 2,Lagundo,Italy,39022,Hotels,3,46.68277953,11.13173599,2,http://www.booking.com/hotel/it/pension-morenfeld-lagundo.en-gb.html,EUR
46411,1771733,Boutique Hotel Three Lilies,Narodni 3,Frantiskovy Lazne,Czech Republic,,Hotels,4,50.11849563,12.34979035,2,http://www.booking.com/hotel/cz/three-lilies.en-gb.html,EUR
46412,177175,MPM Hotel Sport,"100, Pirin Str",Bansko,Bulgaria,2770,Hotels,4,41.82478853,23.47764373,2,http://www.booking.com/hotel/bg/sport.en-gb.html,BGN
46413,177176,Family Hotel Santo Bansko,6 St.Ivan Rilski Str,Bansko,Bulgaria,2770,Hotels,3,41.82960333,23.48144978,2,http://www.booking.com/hotel/bg/santo-bansko.en-gb.html,BGN
46414,177179,Villas Jagoda & Malina,Borovets,Borovets,Bulgaria,2010,Holiday parks,3,42.27528449,23.61851603,2,http://www.booking.com/hotel/bg/villa-settlements.en-gb.html,BGN
46415,177183,Hotel Silver,"10,Lozengrad",Sozopol,Bulgaria,8130,Hotels,3,42.41795597,27.69937098,2,http://www.booking.com/hotel/bg/silver-sozopol.en-gb.html,BGN
46416,177185,Hotel Moura,Borovets,Borovets,Bulgaria,2010,Hotels,3,42.26819899,23.60524178,2,http://www.booking.com/hotel/bg/moura.en-gb.html,BGN
46417,177185,Rena's Suites - Adults Only,Fira,Santorini,Greece,84700,Hotels,3,36.42250443,25.43520546,5,https://www.agoda.com/en-gb/rena-s-suites-adults-only_2/hotel/santorini-gr.html,EUR
46418,177186,Hotel Seasons,Tsigov Chark,Tsigov Chark,Bulgaria,4580,Hotels,3,41.94797259,24.15421486,2,http://www.booking.com/hotel/bg/seasons-batak.en-gb.html,BGN
46419,177187,Breza Hotel,Borovets,Borovets,Bulgaria,2010,Hotels,3,42.26496956,23.60353321,2,http://www.booking.com/hotel/bg/breza.en-gb.html,BGN
46420,177190,Nautica Bay Hotel,Main Street,Porto Cheli,Greece,21061,Hotels,3,37.32395172,23.15633011,5,https://www.agoda.com/en-gb/nautica-bay-hotel/hotel/porto-cheli-gr.html,EUR
46421,177192,Rosslyn Dimyat Hotel Varna,111 Kniaz Boris I Blvd.,Varna City,Bulgaria,9002,Hotels,4,43.20959414,27.9287374,2,http://www.booking.com/hotel/bg/swiss-belhotel-varna.en-gb.html,BGN
46422,177193,Casa Karina Bansko - Half Board & All Inclusive,5 Kralev Dvor Str.,Bansko,Bulgaria,2770,Hotels,4,41.8249884,23.47923428,2,http://www.booking.com/hotel/bg/casa-karina.en-gb.html,BGN
46423,1771941,Le Trente,30 rue Clairaut,Paris,France,75017,Hotels,3,48.88843115,2.31956342,2,http://www.booking.com/hotel/fr/le-trente.en-gb.html,EUR
46424,177196,Semeli Hotel - Adults Only,Main Street,Corfu Island,Greece,49081,Hotels,2,39.788185,19.796108,5,https://www.agoda.com/en-gb/semeli-hotel-adults-only/hotel/corfu-island-gr.html,EUR
46425,1771964,Camping La Promenade Sweet Flower,La Promenade,Montjean-sur-Loire,France,49570,Campsites,3,47.3918431,-0.87038464,2,http://www.booking.com/hotel/fr/sweet-flower-chalet.en-gb.html,EUR
46426,177197,Hotel Karyatides,Agia Marina,Aegina,Greece,18010,Hotels,2,37.74383163,23.53577995,5,https://www.agoda.com/en-gb/hotel-karyatides/hotel/aegina-gr.html,EUR
46427,1771971,Hotel Liliana Andora,Via del Poggio 23,Marina dAndora,Italy,17051,Hotels,3,43.95129879,8.13864808,2,https://www.booking.com/hotel/it/liliana-marina-d-andora.en-gb.html,EUR
46428,177201,Futura Hotel,Main Street,Crete Island,Greece,73100,Hotels,2,35.52149963,23.85106087,5,https://www.agoda.com/en-gb/futura-hotel/hotel/crete-island-gr.html,EUR
